_id,Collection unit ID,Department,Division,Section,Collection unit name,Taxon,Taxon rank,Taxon ID,Taxon ID source,Informal taxon,Type collection,Geographic origin,Earliest geological period,Latest geological period,Item type,Preservation method,Curatorial unit type,Bibliographic level,Fond reference,Reporting count,Reporting metric used,Item count,Item count confidence,Curatorial unit count,Curatorial unit count confidence,C1: Physical accessibility,S1: Strategy/mission/research,S2: Scope and depth,S3: Significance by comparison,S4: Usage,I1: Digitisation,I2: Identification,I4: Development potential,O1: Education suitability,O3: Exhibition suitability
7501,1,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Aberystwyth Microfossil Collection,,,,,Foraminifera and Ostracods,,World marine and terrestrial/freshwater,Ordovician,Holocene,Microfossils,Microscope slide,Microfossils - slides,,,600000,Item count,600000,Medium,60000,High,4,3,3,4.9,3,1,3,2,2,2
7502,2,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Acritarchs & Chitinozoa,,,,,Acritarchs & Chitinozoa,,World marine,Ordovician,Carboniferous,Microfossils,Microscope slide,Microfossils - slides (inestimable),,,2000,Curatorial unit count,,,2000,High,2,3,2,1,2,3,4,3,2,2
7503,4,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Conodonts,Conodonta,class,33816,Paleobiology Database,Conodonts,,,Cambrian,Triassic,Microfossils,Microscope slide,Microfossils - slides,,,6000,Curatorial unit count,600000,Low,6000,Medium,3,3,2.5,3,2.1,3.3,3.4,3,2,2
7504,5,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Dinoflagellates,,,,,Dinoflagellates,,,Jurassic,,Microfossils,Microscope slide,Microfossils - slides (inestimable),,,2000,Curatorial unit count,,,2000,High,3,3,3,3,2,3,3.95,3,2,2
7505,7,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Foraminifera - Recent,Foraminifera,phylum,288974,Paleobiology Database,Foraminifera,,,,,Microfossils,Microscope slide,Microfossils - slides,,,262500,Item count,262500,Low,26250,High,3,3,5,4.5,4,3.2,3.35,4,2,2
7506,8,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Hull Ostracods,Ostracoda,class,22826,Paleobiology Database,Ostracods,,,Jurassic,Holocene,Microfossils,Microscope slide,Microfossils - slides,,,72600,Item count,72600,Low,7260,High,4,3,3,3,3,3,3,4,2,2
7507,9,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Henson and Associates Collection,Foraminifera,phylum,288974,Paleobiology Database,,,,Carboniferous,Holocene,Microfossils,Microscope slide,Microfossils - slides,,,35000,Item count,35000,Medium,7000,High,3.95,4,4,5,5,3,3,4,2,2
7508,10,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,John Williams Index of Palaeopalynology,,,,,Palynology,,,,,Paper,Other,Paper,,,275000,Item count,275000,High,1,Precise,4,4,5,4,2.3,1,4,4,1,1
7509,13,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Miospores,,,,,Miospores,,,Ordovician,Holocene,Microfossils,Microscope slide,Microfossils - slides (inestimable),,,8400,Curatorial unit count,,,8400,High,2,3,2,2,2,3,4,3,2,2
7510,14,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Modern Pollen,,,,,Pollen,,,,,Microfossils,Microscope slide,Microfossils - slides (inestimable),,,12226,Curatorial unit count,,,12226,Precise,4,4,5,4,3,1,5,4,2,2
7511,15,Earth Sciences,ES Invertebrates and Plants Palaeobiology,Micropalaeontology,Nannofossils,,,,,Coccoliths,,,Cretaceous,Holocene,Microfossils,Filters,Microfossils - filters (inestimable),,,9000,Curatorial unit count,,,9000,Medium,3,3,3,3,2,2.5,1,3,2,2
